asn=3100 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=3100 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 11
asn=3100 	id=2   	RPL	DIO input from 1
asn=3100 	id=3   	RPL	DIO input from 1
asn=3226 	id=3   	RPL	DIO output to -1
asn=3255 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=3255 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=3255 	id=1   	RPL	DIO input from 3
asn=3255 	id=2   	RPL	DIO input from 3
asn=3522 	id=-1  	Main	60 seconds, progress 10.00%
asn=3522 	id=-1  	Main	periodic route processing for all nodes
asn=3522 	id=1   	TSCH	chloe stats: {"idle_listen":290,"channel_scan":0,"rx_data":12,"rx_data_tx_ack":6,"tx_data":11,"tx_data_rx_ack":2}
asn=3522 	id=2   	TSCH	chloe stats: {"idle_listen":302,"channel_scan":1,"rx_data":8,"rx_data_tx_ack":7,"tx_data":4,"tx_data_rx_ack":7}
asn=3522 	id=3   	TSCH	chloe stats: {"idle_listen":199,"channel_scan":1192,"rx_data":5,"rx_data_tx_ack":1,"tx_data":6,"tx_data_rx_ack":5}
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 7
asn=3574 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 12
asn=3576 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=3576 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=4105 	id=2   	RPL	DIO output to -1
asn=4123 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=4123 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=4123 	id=1   	RPL	DIO input from 2
asn=4123 	id=3   	RPL	DIO input from 2
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 8
asn=4368 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=4370 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=4370 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=4445 	id=2   	RPL	DIO output to 3
asn=4457 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=4457 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=4457 	id=3   	RPL	DIO input from 2
asn=4457 	id=2   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=4766 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=4766 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 8
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 9
asn=5162 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5164 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=5164 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=5357 	id=1   	RPL	DIO output to -1
asn=5363 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=5363 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5363 	id=2   	RPL	DIO input from 1
asn=5363 	id=3   	RPL	DIO input from 1
asn=5560 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=5560 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=5877 	id=1   	App	generate a packet, seqnum=1 for=-1
asn=5885 	id=3   	App	generate a packet, seqnum=1 for=-1
asn=5890 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=5890 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5890 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=5890 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=5899 	id=2   	App	generate a packet, seqnum=1 for=-1
asn=5902 	id=3   	App	generate a packet, seqnum=2 for=-1
asn=5920 	id=1   	App	generate a packet, seqnum=2 for=-1
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 1
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=5921 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=5926 	id=2   	App	generate a packet, seqnum=2 for=-1
asn=5940 	id=1   	App	generate a packet, seqnum=3 for=-1
asn=5952 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=5952 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5952 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 2
asn=5952 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=5955 	id=3   	App	generate a packet, seqnum=3 for=-1
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 10
asn=5956 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5961 	id=2   	App	generate a packet, seqnum=3 for=-1
asn=5972 	id=1   	App	generate a packet, seqnum=4 for=-1
asn=5977 	id=2   	App	generate a packet, seqnum=4 for=-1
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=5983 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=5991 	id=3   	App	generate a packet, seqnum=4 for=-1
asn=6002 	id=1   	App	generate a packet, seqnum=5 for=-1
asn=6003 	id=3   	App	generate a packet, seqnum=5 for=-1
asn=6009 	id=2   	App	generate a packet, seqnum=5 for=-1
asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 4
asn=6014 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
