asn=7043 	id=1   	TSCH	chloe stats: {"idle_listen":612,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":10,"tx_data":14,"tx_data_rx_ack":2}
asn=7043 	id=2   	TSCH	chloe stats: {"idle_listen":637,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":7}
asn=7043 	id=3   	TSCH	chloe stats: {"idle_listen":638,"channel_scan":1,"rx_data":4,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":7}
asn=7418 	id=3   	App	generate a packet, seqnum=3 for=1
asn=7430 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=7430 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=7430 	id=1   	App	rx app packet seqnum=3 from=3
asn=7430 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=7618 	id=2   	App	generate a packet, seqnum=3 for=1
asn=7634 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=7634 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=7634 	id=1   	App	rx app packet seqnum=3 from=2
asn=7634 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=7941 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 11
asn=7941 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=8022 	id=3   	App	generate a packet, seqnum=4 for=1
asn=8025 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=8025 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=8025 	id=1   	App	rx app packet seqnum=4 from=3
asn=8025 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8214 	id=2   	App	generate a packet, seqnum=4 for=1
asn=8229 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=8229 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=8229 	id=1   	App	rx app packet seqnum=4 from=2
asn=8229 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8262 	id=2   	App	generate a packet, seqnum=5 for=1
asn=8263 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=8263 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=8263 	id=1   	App	rx app packet seqnum=5 from=2
asn=8263 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8544 	id=3   	App	generate a packet, seqnum=5 for=1
asn=8552 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=8552 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 4
asn=8552 	id=1   	App	rx app packet seqnum=5 from=3
asn=8552 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=8735 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 12
asn=8735 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=8856 	id=2   	App	generate a packet, seqnum=6 for=1
asn=8858 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=8858 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=8858 	id=1   	App	rx app packet seqnum=6 from=2
asn=8858 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=9235 	id=1   	RPL	DIO output to -1
asn=9238 	id=3   	App	generate a packet, seqnum=6 for=1
asn=9238 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 5
asn=9238 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=9238 	id=2   	RPL	DIO input from 1
asn=9238 	id=3   	RPL	DIO input from 1
asn=9249 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=9249 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=9249 	id=1   	App	rx app packet seqnum=6 from=3
asn=9249 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=9529 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 13
asn=9529 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=9562 	id=2   	App	generate a packet, seqnum=7 for=1
asn=9572 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=9572 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=9572 	id=1   	App	rx app packet seqnum=7 from=2
asn=9572 	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=9661 	id=3   	App	generate a packet, seqnum=7 for=1
asn=9674 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=9674 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=9674 	id=1   	App	rx app packet seqnum=7 from=3
asn=9674 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=10050	id=2   	App	generate a packet, seqnum=8 for=1
asn=10065	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=10065	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=10065	id=1   	App	rx app packet seqnum=8 from=2
asn=10065	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=10323	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 14
asn=10323	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=10564	id=-1  	Main	180 seconds, progress 30.00%
asn=10564	id=-1  	Main	periodic route processing for all nodes
asn=10564	id=1   	TSCH	chloe stats: {"idle_listen":912,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":21,"tx_data":19,"tx_data_rx_ack":2}
asn=10564	id=2   	TSCH	chloe stats: {"idle_listen":957,"channel_scan":1,"rx_data":6,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":13}
asn=10564	id=3   	TSCH	chloe stats: {"idle_listen":957,"channel_scan":1,"rx_data":5,"rx_data_tx_ack":1,"tx_data":1,"tx_data_rx_ack":12}
asn=10780	id=3   	App	generate a packet, seqnum=8 for=1
asn=10796	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=10796	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=10796	id=1   	App	rx app packet seqnum=8 from=3
asn=10796	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=10861	id=2   	App	generate a packet, seqnum=9 for=1
asn=10864	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=10864	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=10864	id=1   	App	rx app packet seqnum=9 from=2
asn=10864	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11117	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 15
asn=11117	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=11186	id=3   	App	generate a packet, seqnum=9 for=1
asn=11187	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=11187	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=11187	id=1   	App	rx app packet seqnum=9 from=3
asn=11187	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11493	id=2   	App	generate a packet, seqnum=10 for=1
asn=11493	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=11493	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=11493	id=1   	App	rx app packet seqnum=10 from=2
asn=11493	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11937	id=2   	App	generate a packet, seqnum=11 for=1
asn=11952	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=11952	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=11952	id=1   	App	rx app packet seqnum=11 from=2
asn=11952	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11999	id=3   	App	generate a packet, seqnum=10 for=1
asn=12003	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=12003	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=12003	id=1   	App	rx app packet seqnum=10 from=3
asn=12003	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=12242	id=3   	App	generate a packet, seqnum=11 for=1
asn=12258	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=12258	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=12258	id=1   	App	rx app packet seqnum=11 from=3
asn=12258	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=12308	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 16
asn=12308	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=12645	id=2   	App	generate a packet, seqnum=12 for=1
asn=12649	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=12649	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=12649	id=1   	App	rx app packet seqnum=12 from=2
asn=12649	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=13102	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 17
asn=13102	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=13169	id=3   	App	generate a packet, seqnum=12 for=1
asn=13176	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=13176	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=13176	id=1   	App	rx app packet seqnum=12 from=3
asn=13176	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=13324	id=2   	App	generate a packet, seqnum=13 for=1
asn=13329	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=13329	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=13329	id=1   	App	rx app packet seqnum=13 from=2
